rpm_bin_center,mean_advance_degrees,std_advance_degrees,data_source
850,4.69,0.01,binned_plot_data
950,5.96,0.02,binned_plot_data
1050,6.24,0.00,binned_plot_data
1150,7.28,0.01,binned_plot_data
1250,7.87,0.00,binned_plot_data
1350,8.56,0.00,binned_plot_data
1550,9.73,0.06,binned_plot_data
1650,10.14,0.00,binned_plot_data
1750,10.96,0.03,binned_plot_data
1950,11.78,0.00,binned_plot_data
2150,12.70,0.02,binned_plot_data
2350,13.47,0.00,binned_plot_data
2550,14.12,0.01,binned_plot_data
2750,14.49,0.00,binned_plot_data
2950,14.80,0.01,binned_plot_data
3150,15.08,0.00,binned_plot_data
3350,15.15,0.01,binned_plot_data
3550,15.13,0.03,binned_plot_data
3750,15.03,0.02,binned_plot_data
3950,14.91,0.00,binned_plot_data
4150,14.83,0.00,binned_plot_data
4350,14.58,0.02,binned_plot_data
4550,14.41,0.00,binned_plot_data
4750,14.12,0.02,binned_plot_data
4950,13.98,0.02,binned_plot_data
5150,13.64,0.02,binned_plot_data
5350,13.48,0.00,binned_plot_data
5550,13.30,0.03,binned_plot_data
5750,13.11,0.04,binned_plot_data
5850,13.01,0.02,binned_plot_data
6150,12.80,0.02,binned_plot_data
6350,12.42,0.03,binned_plot_data
6550,12.30,0.04,binned_plot_data
6650,12.16,0.02,binned_plot_data
6950,11.88,0.03,binned_plot_data
