rpm,period_us,period_ticks,advance_deg,dwell_us,dwell_ticks,spark_delay_us,spark_delay_ticks,dwell_delay_us,dwell_delay_ticks,duty_cycle_percent
200,150000.0,37500,1.2,3000.0,750,38166.7,9542,35166.7,8792,2.0
300,100000.0,25000,1.8,3000.0,750,25111.1,6278,22111.1,5528,3.0
400,75000.0,18750,2.4,3000.0,750,18583.3,4646,15583.3,3896,4.0
500,60000.0,15000,3.0,3000.0,750,14666.7,3667,11666.7,2917,5.0
600,50000.0,12500,3.6,3000.0,750,12055.6,3014,9055.6,2264,6.0
700,42857.1,10714,4.2,3000.0,750,10190.5,2548,7190.5,1798,7.0
800,37500.0,9375,4.8,3000.0,750,8791.7,2198,5791.7,1448,8.0
900,33333.3,8333,5.4,3000.0,750,7703.7,1926,4703.7,1176,9.0
1000,30000.0,7500,6.0,3000.0,750,6833.3,1708,3833.3,958,10.0
1100,27272.7,6818,6.6,3000.0,750,6121.2,1530,3121.2,780,11.0
1200,25000.0,6250,7.2,3000.0,750,5527.8,1382,2527.8,632,12.0
1300,23076.9,5769,7.8,3000.0,750,5025.6,1256,2025.6,506,13.0
1400,21428.6,5357,8.4,3000.0,750,4595.2,1149,1595.2,399,14.0
1500,20000.0,5000,9.0,3000.0,750,4222.2,1056,1222.2,306,15.0
1600,18750.0,4688,9.6,3000.0,750,3895.8,974,895.8,224,16.0
1700,17647.1,4412,10.2,3000.0,750,3607.8,902,607.8,152,17.0
1800,16666.7,4167,10.8,3000.0,750,3351.9,838,351.9,88,18.0
1900,15789.5,3947,11.4,3000.0,750,3122.8,781,122.8,31,19.0
2000,15000.0,3750,12.0,3000.0,750,2916.7,729,14916.7,3729,20.0
2100,14285.7,3571,12.3,3000.0,750,2754.0,688,14039.7,3510,21.0
2200,13636.4,3409,12.6,3000.0,750,2606.1,652,13242.4,3311,22.0
2300,13043.5,3261,12.9,3000.0,750,2471.0,618,12514.5,3129,23.0
2400,12500.0,3125,13.2,3000.0,750,2347.2,587,11847.2,2962,24.0
2500,12000.0,3000,13.5,3000.0,750,2233.3,558,11233.3,2808,25.0
2600,11538.5,2885,13.8,3000.0,750,2128.2,532,10666.7,2667,26.0
2700,11111.1,2778,14.1,3000.0,750,2030.9,508,10142.0,2535,27.0
2800,10714.3,2679,14.4,3000.0,750,1940.5,485,9654.8,2414,28.0
2900,10344.8,2586,14.7,3000.0,750,1856.3,464,9201.1,2300,29.0
3000,10000.0,2500,15.0,3000.0,750,1777.8,444,8777.8,2194,30.0
3100,9677.4,2419,15.0,3000.0,750,1720.4,430,8397.8,2099,31.0
3200,9375.0,2344,15.0,3000.0,750,1666.7,417,8041.7,2010,32.0
3300,9090.9,2273,15.0,3000.0,750,1616.2,404,7707.1,1927,33.0
3400,8823.5,2206,15.0,3000.0,750,1568.6,392,7392.2,1848,34.0
3500,8571.4,2143,15.0,3000.0,750,1523.8,381,7095.2,1774,35.0
3600,8333.3,2083,15.0,3000.0,750,1481.5,370,6814.8,1704,36.0
3700,8108.1,2027,15.0,3000.0,750,1441.4,360,6549.5,1637,37.0
3800,7894.7,1974,15.0,3000.0,750,1403.5,351,6298.2,1575,38.0
3900,7692.3,1923,15.0,3000.0,750,1367.5,342,6059.8,1515,39.0
4000,7500.0,1875,15.0,3000.0,750,1333.3,333,5833.3,1458,40.0
4100,7317.1,1829,14.9,2926.8,732,1304.9,326,5695.1,1424,40.0
4200,7142.9,1786,14.8,2857.1,714,1277.8,319,5563.5,1391,40.0
4300,6976.7,1744,14.7,2790.7,698,1251.9,313,5438.0,1359,40.0
4400,6818.2,1705,14.6,2727.3,682,1227.3,307,5318.2,1330,40.0
4500,6666.7,1667,14.5,2666.7,667,1203.7,301,5203.7,1301,40.0
4600,6521.7,1630,14.4,2608.7,652,1181.2,295,5094.2,1274,40.0
4700,6383.0,1596,14.3,2553.2,638,1159.6,290,4989.4,1247,40.0
4800,6250.0,1562,14.2,2500.0,625,1138.9,285,4888.9,1222,40.0
4900,6122.4,1531,14.1,2449.0,612,1119.0,280,4792.5,1198,40.0
5000,6000.0,1500,14.0,2400.0,600,1100.0,275,4700.0,1175,40.0
5100,5882.4,1471,13.9,2352.9,588,1081.7,270,4611.1,1153,40.0
5200,5769.2,1442,13.8,2307.7,577,1064.1,266,4525.6,1131,40.0
5300,5660.4,1415,13.7,2264.2,566,1047.2,262,4443.4,1111,40.0
5400,5555.6,1389,13.6,2222.2,556,1030.9,258,4364.2,1091,40.0
5500,5454.5,1364,13.5,2181.8,545,1015.2,254,4287.9,1072,40.0
5600,5357.1,1339,13.4,2142.9,536,1000.0,250,4214.3,1054,40.0
5700,5263.2,1316,13.3,2105.3,526,985.4,246,4143.3,1036,40.0
5800,5172.4,1293,13.2,2069.0,517,971.3,243,4074.7,1019,40.0
5900,5084.7,1271,13.1,2033.9,508,957.6,239,4008.5,1002,40.0
6000,5000.0,1250,13.0,2000.0,500,944.4,236,3944.4,986,40.0
6100,4918.0,1230,12.9,1967.2,492,931.7,233,3882.5,971,40.0
6200,4838.7,1210,12.8,1935.5,484,919.4,230,3822.6,956,40.0
6300,4761.9,1190,12.7,1904.8,476,907.4,227,3764.6,941,40.0
6400,4687.5,1172,12.6,1875.0,469,895.8,224,3708.3,927,40.0
6500,4615.4,1154,12.5,1846.2,462,884.6,221,3653.8,913,40.0
6600,4545.5,1136,12.4,1818.2,455,873.7,218,3601.0,900,40.0
6700,4477.6,1119,12.3,1791.0,448,863.2,216,3549.8,887,40.0
6800,4411.8,1103,12.2,1764.7,441,852.9,213,3500.0,875,40.0
6900,4347.8,1087,12.1,1739.1,435,843.0,211,3451.7,863,40.0
7000,4285.7,1071,12.0,1714.3,429,833.3,208,3404.8,851,40.0
7100,4225.4,1056,12.0,1690.1,423,821.6,205,3356.8,839,40.0
7200,4166.7,1042,12.0,1666.7,417,810.2,203,3310.2,828,40.0
7300,4109.6,1027,12.0,1643.8,411,799.1,200,3264.8,816,40.0
7400,4054.1,1014,12.0,1621.6,405,788.3,197,3220.7,805,40.0
7500,4000.0,1000,12.0,1600.0,400,777.8,194,3177.8,794,40.0
