# Cubic interpolation with Savitzky-Golay smoothing
rpm,advance_degrees
0,0.00
40,0.20
80,0.40
121,0.60
161,0.81
201,1.03
241,1.25
281,1.48
322,1.71
362,1.94
402,2.18
442,2.42
482,2.66
523,2.91
563,3.16
603,3.41
643,3.67
683,3.93
724,4.19
764,4.45
804,4.71
844,4.97
884,5.24
925,5.50
965,5.77
1005,6.03
1045,6.30
1085,6.56
1126,6.83
1166,7.09
1206,7.36
1246,7.62
1286,7.88
1327,8.14
1367,8.39
1407,8.65
1447,8.90
1487,9.15
1528,9.40
1568,9.64
1608,9.88
1648,10.12
1688,10.35
1729,10.58
1769,10.80
1809,11.02
1849,11.24
1889,11.45
1930,11.65
1970,11.85
2010,12.05
2050,12.24
2090,12.42
2131,12.59
2171,12.76
2211,12.93
2251,13.09
2291,13.24
2332,13.39
2372,13.53
2412,13.66
2452,13.79
2492,13.92
2533,14.04
2573,14.15
2613,14.26
2653,14.36
2693,14.45
2734,14.54
2774,14.63
2814,14.71
2854,14.78
2894,14.85
2935,14.91
2975,14.97
3015,15.02
3055,15.06
3095,15.10
3136,15.14
3176,15.17
3216,15.20
3256,15.22
3296,15.23
3337,15.25
3377,15.25
3417,15.26
3457,15.26
3497,15.26
3538,15.25
3578,15.24
3618,15.23
3658,15.21
3698,15.20
3739,15.18
3779,15.16
3819,15.13
3859,15.10
3899,15.08
3940,15.05
3980,15.02
4020,14.98
4060,14.95
4101,14.92
4141,14.88
4181,14.84
4221,14.81
4261,14.77
4302,14.73
4342,14.69
4382,14.65
4422,14.61
4462,14.57
4503,14.53
4543,14.49
4583,14.44
4623,14.40
4663,14.36
4704,14.32
4744,14.27
4784,14.23
4824,14.19
4864,14.14
4905,14.10
4945,14.06
4985,14.02
5025,13.97
5065,13.93
5106,13.89
5146,13.85
5186,13.81
5226,13.77
5266,13.73
5307,13.68
5347,13.64
5387,13.60
5427,13.56
5467,13.52
5508,13.48
5548,13.44
5588,13.40
5628,13.36
5668,13.33
5709,13.29
5749,13.25
5789,13.21
5829,13.17
5869,13.13
5910,13.09
5950,13.05
5990,13.01
6030,12.97
6070,12.93
6111,12.89
6151,12.85
6191,12.81
6231,12.77
6271,12.73
6312,12.69
6352,12.65
6392,12.61
6432,12.57
6472,12.53
6513,12.49
6553,12.45
6593,12.41
6633,12.37
6673,12.33
6714,12.29
6754,12.25
6794,12.21
6834,12.17
6874,12.13
6915,12.09
6955,12.05
6995,12.01
7035,11.96
7075,11.92
7116,11.88
7156,11.84
7196,11.80
7236,11.76
7276,11.72
7317,11.68
7357,11.64
7397,11.60
7437,11.56
7477,11.52
7518,11.48
7558,11.44
7598,11.40
7638,11.36
7678,11.32
7719,11.28
7759,11.24
7799,11.20
7839,11.16
7879,11.12
7920,11.08
7960,11.04
8000,11.00
