# Lookup table at 40 RPM intervals for 201 points
rpm,advance_degrees
0,0.00
40,0.19
80,0.39
120,0.60
160,0.81
200,1.03
240,1.24
280,1.47
320,1.70
360,1.93
400,2.17
440,2.41
480,2.65
520,2.90
560,3.14
600,3.40
640,3.65
680,3.91
720,4.16
760,4.42
800,4.68
840,4.95
880,5.21
920,5.47
960,5.74
1000,6.00
1040,6.26
1080,6.53
1120,6.79
1160,7.05
1200,7.32
1240,7.58
1280,7.84
1320,8.09
1360,8.35
1400,8.60
1440,8.86
1480,9.10
1520,9.35
1560,9.59
1600,9.83
1640,10.07
1680,10.30
1720,10.53
1760,10.75
1800,10.97
1840,11.19
1880,11.40
1920,11.61
1960,11.81
2000,12.00
2040,12.19
2080,12.37
2120,12.55
2160,12.72
2200,12.88
2240,13.04
2280,13.20
2320,13.35
2360,13.49
2400,13.62
2440,13.75
2480,13.88
2520,14.00
2560,14.11
2600,14.22
2640,14.32
2680,14.42
2720,14.51
2760,14.60
2800,14.68
2840,14.75
2880,14.82
2920,14.89
2960,14.95
3000,15.00
3040,15.05
3080,15.09
3120,15.13
3160,15.16
3200,15.19
3240,15.21
3280,15.23
3320,15.24
3360,15.25
3400,15.26
3440,15.26
3480,15.26
3520,15.25
3560,15.25
3600,15.24
3640,15.22
3680,15.21
3720,15.19
3760,15.17
3800,15.14
3840,15.12
3880,15.09
3920,15.06
3960,15.03
4000,15.00
4040,14.97
4080,14.93
4120,14.90
4160,14.86
4200,14.83
4240,14.79
4280,14.75
4320,14.71
4360,14.67
4400,14.63
4440,14.59
4480,14.55
4520,14.51
4560,14.47
4600,14.43
4640,14.38
4680,14.34
4720,14.30
4760,14.26
4800,14.21
4840,14.17
4880,14.13
4920,14.08
4960,14.04
5000,14.00
5040,13.96
5080,13.92
5120,13.87
5160,13.83
5200,13.79
5240,13.75
5280,13.71
5320,13.67
5360,13.63
5400,13.59
5440,13.55
5480,13.51
5520,13.47
5560,13.43
5600,13.39
5640,13.35
5680,13.31
5720,13.27
5760,13.24
5800,13.20
5840,13.16
5880,13.12
5920,13.08
5960,13.04
6000,13.00
6040,12.96
6080,12.92
6120,12.88
6160,12.84
6200,12.80
6240,12.76
6280,12.72
6320,12.68
6360,12.64
6400,12.60
6440,12.56
6480,12.52
6520,12.48
6560,12.44
6600,12.40
6640,12.36
6680,12.32
6720,12.28
6760,12.24
6800,12.20
6840,12.16
6880,12.12
6920,12.08
6960,12.04
7000,12.00
7040,11.96
7080,11.92
7120,11.88
7160,11.84
7200,11.80
7240,11.76
7280,11.72
7320,11.68
7360,11.64
7400,11.60
7440,11.56
7480,11.52
7520,11.48
7560,11.44
7600,11.40
7640,11.36
7680,11.32
7720,11.28
7760,11.24
7800,11.20
7840,11.16
7880,11.12
7920,11.08
7960,11.04
8000,11.00
