trigger_num,time_ms,diagnostics_time_ms,period_us,rpm,spark_found,delay_us,delay_degrees,advance_degrees,dwell_us,dwell_delay_us,theoretical_advance,theoretical_delay_us,error_degrees,is_noise,noise_reason
1,1155.247,0.000,0.0,0,False,MISSING,MISSING,MISSING,MISSING,MISSING,0.00,N/A,N/A,False,
2,1226.050,70.803,70803.0,424,False,MISSING,MISSING,MISSING,MISSING,MISSING,2.31,17578.7,N/A,False,
3,1293.154,137.907,67104.0,447,False,MISSING,MISSING,MISSING,MISSING,MISSING,2.45,16608.1,N/A,False,
4,1357.084,201.837,63930.0,469,False,MISSING,MISSING,MISSING,MISSING,MISSING,2.58,15775.2,N/A,False,
5,1418.253,263.006,61169.0,490,False,MISSING,MISSING,MISSING,MISSING,MISSING,2.71,15050.5,N/A,False,
6,1476.990,321.743,58737.0,511,False,MISSING,MISSING,MISSING,MISSING,MISSING,2.84,14411.7,N/A,False,
7,1533.564,378.317,56574.0,530,False,MISSING,MISSING,MISSING,MISSING,MISSING,2.96,13843.2,N/A,False,
8,1588.197,432.950,54633.0,549,True,14274.6,47.03,-0.03,3001.8,11272.8,3.07,13332.5,-3.10,False,
9,1641.077,485.830,52880.0,567,True,13817.1,47.03,-0.03,3001.8,10815.3,3.19,12871.3,-3.22,False,
10,1692.362,537.115,51285.0,585,True,13400.6,47.03,-0.03,3001.8,10398.8,3.30,12451.6,-3.33,False,
11,1742.188,586.941,49826.0,602,True,13019.6,47.03,-0.03,3001.8,10017.8,3.40,12067.8,-3.44,False,
12,1790.673,635.426,48485.0,619,True,12669.6,47.04,-0.04,3001.7,9667.9,3.51,11713.9,-3.55,False,
13,1837.920,682.673,47247.0,635,True,12345.7,47.03,-0.03,3001.9,9343.8,3.62,11387.1,-3.65,False,
14,1884.019,728.772,46099.0,651,True,12046.1,47.04,-0.04,3001.8,9044.3,3.72,11084.1,-3.76,False,
15,1929.050,773.803,45031.0,666,True,11767.1,47.04,-0.04,3001.7,8765.4,3.82,10802.2,-3.86,False,
16,1973.084,817.837,44034.0,681,True,11507.1,47.04,-0.04,3001.8,8505.3,3.92,10539.1,-3.96,False,
17,2016.185,860.938,43101.0,696,True,11263.1,47.04,-0.04,3001.7,8261.3,4.01,10293.3,-4.05,False,
18,2058.409,903.162,42224.0,710,True,11037.6,47.05,-0.05,3001.7,8035.8,4.10,10062.4,-4.16,False,
19,2099.808,944.561,41399.0,725,True,10818.1,47.04,-0.04,3001.8,7816.3,4.19,9845.1,-4.23,False,
