time_sec,rpm,reason
1.025,29,Missing spark - no dwell before next trigger
1.045,1493,Missing spark - no dwell before next trigger
1.065,1493,Missing spark - no dwell before next trigger
1.170,7097,Missing spark - no dwell before next trigger
1.210,7097,Missing spark - no dwell before next trigger
1.391,7096,Missing spark - no dwell before next trigger
1.793,7097,Missing spark - no dwell before next trigger
1.913,7097,Missing spark - no dwell before next trigger
2.436,7097,Missing spark - no dwell before next trigger
2.738,7097,Missing spark - no dwell before next trigger
2.939,7097,Missing spark - no dwell before next trigger
5.005,1695,Missing spark - no dwell before next trigger
5.023,1695,Missing spark - no dwell before next trigger
5.040,1695,Missing spark - no dwell before next trigger
5.058,1695,Missing spark - no dwell before next trigger
5.076,1695,Missing spark - no dwell before next trigger
5.094,1695,Missing spark - no dwell before next trigger
5.111,1695,Missing spark - no dwell before next trigger
5.129,1695,Missing spark - no dwell before next trigger
5.147,1695,Missing spark - no dwell before next trigger
5.164,1695,Missing spark - no dwell before next trigger
5.182,1695,Missing spark - no dwell before next trigger
5.200,1695,Missing spark - no dwell before next trigger
5.218,1695,Missing spark - no dwell before next trigger
5.235,1695,Missing spark - no dwell before next trigger
5.253,1695,Missing spark - no dwell before next trigger
5.271,1695,Missing spark - no dwell before next trigger
5.288,1695,Missing spark - no dwell before next trigger
5.306,1695,Missing spark - no dwell before next trigger
5.324,1695,Missing spark - no dwell before next trigger
5.341,1695,Missing spark - no dwell before next trigger
5.359,1695,Missing spark - no dwell before next trigger
5.377,1695,Missing spark - no dwell before next trigger
5.394,1695,Missing spark - no dwell before next trigger
5.412,1695,Missing spark - no dwell before next trigger
5.430,1695,Missing spark - no dwell before next trigger
5.448,1695,Missing spark - no dwell before next trigger
5.465,1695,Missing spark - no dwell before next trigger
5.483,1695,Missing spark - no dwell before next trigger
5.501,1695,Missing spark - no dwell before next trigger
5.518,1695,Missing spark - no dwell before next trigger
5.536,1695,Missing spark - no dwell before next trigger
5.554,1695,Missing spark - no dwell before next trigger
5.572,1695,Missing spark - no dwell before next trigger
5.589,1695,Missing spark - no dwell before next trigger
5.607,1695,Missing spark - no dwell before next trigger
5.625,1695,Missing spark - no dwell before next trigger
5.642,1695,Missing spark - no dwell before next trigger
5.660,1695,Missing spark - no dwell before next trigger
5.678,1695,Missing spark - no dwell before next trigger
5.695,1695,Missing spark - no dwell before next trigger
5.713,1695,Missing spark - no dwell before next trigger
5.731,1695,Missing spark - no dwell before next trigger
5.748,1695,Missing spark - no dwell before next trigger
5.766,1695,Missing spark - no dwell before next trigger
5.784,1695,Missing spark - no dwell before next trigger
5.802,1695,Missing spark - no dwell before next trigger
5.819,1695,Missing spark - no dwell before next trigger
5.837,1695,Missing spark - no dwell before next trigger
5.855,1695,Missing spark - no dwell before next trigger
5.872,1695,Missing spark - no dwell before next trigger
5.890,1695,Missing spark - no dwell before next trigger
5.908,1695,Missing spark - no dwell before next trigger
5.926,1695,Missing spark - no dwell before next trigger
5.943,1695,Missing spark - no dwell before next trigger
5.961,1695,Missing spark - no dwell before next trigger
5.979,1695,Missing spark - no dwell before next trigger
5.996,1695,Missing spark - no dwell before next trigger
6.014,1695,Missing spark - no dwell before next trigger
6.032,1695,Missing spark - no dwell before next trigger
6.049,1695,Missing spark - no dwell before next trigger
6.067,1695,Missing spark - no dwell before next trigger
6.085,1695,Missing spark - no dwell before next trigger
6.103,1695,Missing spark - no dwell before next trigger
6.120,1695,Missing spark - no dwell before next trigger
6.138,1695,Missing spark - no dwell before next trigger
6.156,1695,Missing spark - no dwell before next trigger
6.173,1695,Missing spark - no dwell before next trigger
6.191,1695,Missing spark - no dwell before next trigger
6.209,1695,Missing spark - no dwell before next trigger
6.226,1695,Missing spark - no dwell before next trigger
6.244,1695,Missing spark - no dwell before next trigger
6.262,1695,Missing spark - no dwell before next trigger
6.279,1695,Missing spark - no dwell before next trigger
6.297,1695,Missing spark - no dwell before next trigger
6.315,1695,Missing spark - no dwell before next trigger
6.333,1695,Missing spark - no dwell before next trigger
6.350,1695,Missing spark - no dwell before next trigger
6.368,1695,Missing spark - no dwell before next trigger
6.386,1695,Missing spark - no dwell before next trigger
6.403,1695,Missing spark - no dwell before next trigger
6.421,1695,Missing spark - no dwell before next trigger
6.439,1695,Missing spark - no dwell before next trigger
6.457,1695,Missing spark - no dwell before next trigger
6.474,1695,Missing spark - no dwell before next trigger
6.492,1695,Missing spark - no dwell before next trigger
6.510,1695,Missing spark - no dwell before next trigger
6.527,1695,Missing spark - no dwell before next trigger
6.545,1695,Missing spark - no dwell before next trigger
