RPM,Advance (Actual deg),Advance (Safe deg),"Same-lobe Window (ms, Actual)","Same-lobe Window (ms, Safe)",Recommended Dwell (ms),Required (Dwell+Margin) ms,Same-lobe OK? (Actual),Same-lobe OK? (Safe)
500,3.0,3.0,14.667,14.667,3.0,3.3,True,True
525,3.15,3.15,13.921,13.921,3.0,3.3,True,True
550,3.3,3.3,13.242,13.242,3.0,3.3,True,True
575,3.45,3.45,12.623,12.623,3.0,3.3,True,True
600,3.6,3.6,12.056,12.056,3.0,3.3,True,True
625,3.75,3.75,11.533,11.533,3.0,3.3,True,True
650,3.9,3.9,11.051,11.051,3.0,3.3,True,True
675,4.05,4.05,10.605,10.605,3.0,3.3,True,True
700,4.2,4.2,10.19,10.19,3.0,3.3,True,True
725,4.35,4.35,9.805,9.805,3.0,3.3,True,True
750,4.5,4.5,9.444,9.444,3.0,3.3,True,True
775,4.65,4.65,9.108,9.108,3.0,3.3,True,True
800,4.8,4.8,8.792,8.792,3.0,3.3,True,True
825,4.95,4.95,8.495,8.495,3.0,3.3,True,True
850,5.1,5.1,8.216,8.216,3.0,3.3,True,True
875,5.25,5.25,7.952,7.952,3.0,3.3,True,True
900,5.4,5.4,7.704,7.704,3.0,3.3,True,True
925,5.55,5.55,7.468,7.468,3.0,3.3,True,True
950,5.7,5.7,7.246,7.246,3.0,3.3,True,True
975,5.85,5.85,7.034,7.034,3.0,3.3,True,True
1000,6.0,6.0,6.833,6.833,3.0,3.3,True,True
1025,6.15,6.15,6.642,6.642,3.0,3.3,True,True
1050,6.3,6.3,6.46,6.46,3.0,3.3,True,True
1075,6.45,6.45,6.287,6.287,3.0,3.3,True,True
1100,6.6,6.6,6.121,6.121,3.0,3.3,True,True
1125,6.75,6.75,5.963,5.963,3.0,3.3,True,True
1150,6.9,6.9,5.812,5.812,3.0,3.3,True,True
1175,7.05,7.05,5.667,5.667,3.0,3.3,True,True
1200,7.2,7.2,5.528,5.528,3.0,3.3,True,True
1225,7.35,7.35,5.395,5.395,3.0,3.3,True,True
1250,7.5,7.5,5.267,5.267,3.0,3.3,True,True
1275,7.65,7.65,5.144,5.144,3.0,3.3,True,True
1300,7.8,7.8,5.026,5.026,3.0,3.3,True,True
1325,7.95,7.95,4.912,4.912,3.0,3.3,True,True
1350,8.1,8.1,4.802,4.802,3.0,3.3,True,True
1375,8.25,8.25,4.697,4.697,3.0,3.3,True,True
1400,8.4,8.4,4.595,4.595,3.0,3.3,True,True
1425,8.55,8.55,4.497,4.497,3.0,3.3,True,True
1450,8.7,8.7,4.402,4.402,3.0,3.3,True,True
1475,8.85,8.85,4.311,4.311,3.0,3.3,True,True
1500,9.0,9.0,4.222,4.222,3.0,3.3,True,True
1525,9.15,9.15,4.137,4.137,3.0,3.3,True,True
1550,9.3,9.3,4.054,4.054,3.0,3.3,True,True
1575,9.45,9.45,3.974,3.974,3.0,3.3,True,True
1600,9.6,9.6,3.896,3.896,3.0,3.3,True,True
1625,9.75,9.75,3.821,3.821,3.0,3.3,True,True
1650,9.9,9.9,3.747,3.747,3.0,3.3,True,True
1675,10.05,10.05,3.677,3.677,3.0,3.3,True,True
1700,10.2,10.2,3.608,3.608,3.0,3.3,True,True
1725,10.35,10.35,3.541,3.541,3.0,3.3,True,True
1750,10.5,10.5,3.476,3.476,3.0,3.3,True,True
1775,10.65,10.65,3.413,3.413,3.0,3.3,True,True
1800,10.8,10.8,3.352,3.352,3.0,3.3,True,True
1825,10.95,10.95,3.292,3.292,3.0,3.3,False,False
1850,11.1,11.1,3.234,3.234,3.0,3.3,False,False
1875,11.25,11.25,3.178,3.178,3.0,3.3,False,False
1900,11.4,11.4,3.123,3.123,3.0,3.3,False,False
1925,11.55,11.55,3.069,3.069,3.0,3.3,False,False
1950,11.7,11.7,3.017,3.017,3.0,3.3,False,False
1975,11.85,11.85,2.966,2.966,3.0,3.3,False,False
2000,12.0,12.0,2.917,2.917,3.0,3.3,False,False
2025,12.2,12.08,2.864,2.874,3.0,3.3,False,False
2050,12.4,12.15,2.813,2.833,3.0,3.3,False,False
2075,12.6,12.22,2.763,2.793,3.0,3.3,False,False
2100,12.8,12.3,2.714,2.754,3.0,3.3,False,False
2125,13.0,12.38,2.667,2.716,3.0,3.3,False,False
2150,13.2,12.45,2.62,2.678,3.0,3.3,False,False
2175,13.4,12.52,2.575,2.642,3.0,3.3,False,False
2200,13.6,12.6,2.53,2.606,3.0,3.3,False,False
2225,13.8,12.68,2.487,2.571,3.0,3.3,False,False
2250,14.0,12.75,2.444,2.537,3.0,3.3,False,False
2275,14.2,12.82,2.403,2.504,3.0,3.3,False,False
2300,14.4,12.9,2.362,2.471,3.0,3.3,False,False
2325,14.6,12.98,2.323,2.439,3.0,3.3,False,False
2350,14.8,13.05,2.284,2.408,3.0,3.3,False,False
2375,15.0,13.12,2.246,2.377,3.0,3.3,False,False
2400,15.2,13.2,2.208,2.347,3.0,3.3,False,False
2425,15.4,13.28,2.172,2.318,3.0,3.3,False,False
2450,15.6,13.35,2.136,2.289,3.0,3.3,False,False
2475,15.8,13.42,2.101,2.261,3.0,3.3,False,False
2500,16.0,13.5,2.067,2.233,3.0,3.3,False,False
2525,16.2,13.58,2.033,2.206,3.0,3.3,False,False
2550,16.4,13.65,2.0,2.18,3.0,3.3,False,False
2575,16.6,13.72,1.968,2.154,3.0,3.3,False,False
2600,16.8,13.8,1.936,2.128,3.0,3.3,False,False
2625,17.0,13.88,1.905,2.103,3.0,3.3,False,False
2650,17.2,13.95,1.874,2.079,3.0,3.3,False,False
2675,17.4,14.02,1.844,2.055,3.0,3.3,False,False
2700,17.6,14.1,1.815,2.031,3.0,3.3,False,False
2725,17.8,14.18,1.786,2.008,3.0,3.3,False,False
2750,18.0,14.25,1.758,1.985,3.0,3.3,False,False
2775,18.2,14.32,1.73,1.962,3.0,3.3,False,False
2800,18.4,14.4,1.702,1.94,3.0,3.3,False,False
2825,18.6,14.48,1.676,1.919,3.0,3.3,False,False
2850,18.8,14.55,1.649,1.898,3.0,3.3,False,False
2875,19.0,14.62,1.623,1.877,3.0,3.3,False,False
2900,19.2,14.7,1.598,1.856,3.0,3.3,False,False
2925,19.4,14.78,1.573,1.836,3.0,3.3,False,False
2950,19.6,14.85,1.548,1.816,3.0,3.3,False,False
2975,19.8,14.92,1.524,1.797,3.0,3.3,False,False
3000,20.0,15.0,1.5,1.778,3.0,3.3,False,False
3025,20.0,15.0,1.488,1.763,3.0,3.3,False,False
3050,20.0,15.0,1.475,1.749,3.0,3.3,False,False
3075,20.0,15.0,1.463,1.734,3.0,3.3,False,False
3100,20.0,15.0,1.452,1.72,3.0,3.3,False,False
3125,20.0,15.0,1.44,1.707,3.0,3.3,False,False
3150,20.0,15.0,1.429,1.693,3.0,3.3,False,False
3175,20.0,15.0,1.417,1.68,3.0,3.3,False,False
3200,20.0,15.0,1.406,1.667,3.0,3.3,False,False
3225,20.0,15.0,1.395,1.654,3.0,3.3,False,False
3250,20.0,15.0,1.385,1.641,3.0,3.3,False,False
3275,20.0,15.0,1.374,1.628,3.0,3.3,False,False
3300,20.0,15.0,1.364,1.616,3.0,3.3,False,False
3325,20.0,15.0,1.353,1.604,3.0,3.3,False,False
3350,20.0,15.0,1.343,1.592,3.0,3.3,False,False
3375,20.0,15.0,1.333,1.58,3.0,3.3,False,False
3400,20.0,15.0,1.324,1.569,3.0,3.3,False,False
3425,20.0,15.0,1.314,1.557,3.0,3.3,False,False
3450,20.0,15.0,1.304,1.546,3.0,3.3,False,False
3475,20.0,15.0,1.295,1.535,3.0,3.3,False,False
3500,20.0,15.0,1.286,1.524,3.0,3.3,False,False
3525,20.0,15.0,1.277,1.513,3.0,3.3,False,False
3550,20.0,15.0,1.268,1.502,3.0,3.3,False,False
3575,20.0,15.0,1.259,1.492,3.0,3.3,False,False
3600,20.0,15.0,1.25,1.481,3.0,3.3,False,False
3625,20.0,15.0,1.241,1.471,3.0,3.3,False,False
3650,20.0,15.0,1.233,1.461,3.0,3.3,False,False
3675,20.0,15.0,1.224,1.451,3.0,3.3,False,False
3700,20.0,15.0,1.216,1.441,3.0,3.3,False,False
3725,20.0,15.0,1.208,1.432,3.0,3.3,False,False
3750,20.0,15.0,1.2,1.422,3.0,3.3,False,False
3775,20.0,15.0,1.192,1.413,3.0,3.3,False,False
3800,20.0,15.0,1.184,1.404,3.0,3.3,False,False
3825,20.0,15.0,1.176,1.394,3.0,3.3,False,False
3850,20.0,15.0,1.169,1.385,3.0,3.3,False,False
3875,20.0,15.0,1.161,1.376,3.0,3.3,False,False
3900,20.0,15.0,1.154,1.368,3.0,3.3,False,False
3925,20.0,15.0,1.146,1.359,3.0,3.3,False,False
3950,20.0,15.0,1.139,1.35,3.0,3.3,False,False
3975,20.0,15.0,1.132,1.342,3.0,3.3,False,False
4000,20.0,15.0,1.125,1.333,3.0,3.3,False,False
4025,19.98,14.98,1.119,1.326,2.981,3.281,False,False
4050,19.95,14.95,1.113,1.319,2.963,3.263,False,False
4075,19.92,14.92,1.107,1.312,2.945,3.245,False,False
4100,19.9,14.9,1.102,1.305,2.927,3.227,False,False
4125,19.88,14.88,1.096,1.298,2.909,3.209,False,False
4150,19.85,14.85,1.09,1.291,2.892,3.192,False,False
4175,19.82,14.82,1.085,1.284,2.874,3.174,False,False
4200,19.8,14.8,1.079,1.278,2.857,3.157,False,False
4225,19.77,14.78,1.074,1.271,2.84,3.14,False,False
4250,19.75,14.75,1.069,1.265,2.824,3.124,False,False
4275,19.73,14.72,1.063,1.258,2.807,3.107,False,False
4300,19.7,14.7,1.058,1.252,2.791,3.091,False,False
4325,19.68,14.68,1.053,1.246,2.775,3.075,False,False
4350,19.65,14.65,1.048,1.239,2.759,3.059,False,False
4375,19.62,14.62,1.043,1.233,2.743,3.043,False,False
4400,19.6,14.6,1.038,1.227,2.727,3.027,False,False
4425,19.58,14.58,1.033,1.221,2.712,3.012,False,False
