time_sec,rpm,delay_us,delay_degrees,advance_degrees,dwell_us,trigger_pulse_width_us,is_previous_lobe,safe_advance,perf_advance
4.559,800,83797.0,402.23,-355.23,2999.9,500.0,False,4.80,4.80
4.596,800,46297.0,222.23,-175.23,2999.9,500.0,False,4.80,4.80
4.633,800,8797.0,42.23,4.77,2999.9,500.0,False,4.80,4.80
4.671,800,8797.0,42.23,4.77,2999.9,500.0,False,4.80,4.80
4.708,800,8796.7,42.22,4.78,3000.1,500.0,False,4.80,4.80
4.746,800,9110.7,43.73,3.27,2993.9,500.0,False,4.80,4.80
4.784,800,9108.9,43.72,3.28,2993.9,500.0,False,4.80,4.80
4.821,800,8797.2,42.23,4.77,3000.2,500.0,False,4.80,4.80
4.859,800,8796.5,42.22,4.78,2999.9,500.0,False,4.80,4.80
4.896,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
4.934,800,8797.1,42.23,4.77,2999.4,500.0,False,4.80,4.80
4.971,800,8797.0,42.23,4.77,2999.9,500.0,False,4.80,4.80
5.008,800,9140.2,43.87,3.13,3012.9,500.0,False,4.80,4.80
5.046,800,9109.7,43.73,3.27,2993.9,500.0,False,4.80,4.80
5.083,800,8796.5,42.22,4.78,2999.9,500.0,False,4.80,4.80
5.121,800,8797.0,42.23,4.77,3000.0,500.0,False,4.80,4.80
5.159,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
5.196,800,8797.6,42.23,4.77,3000.6,500.0,False,4.80,4.80
5.234,800,8796.5,42.22,4.78,2999.9,500.0,False,4.80,4.80
5.271,800,9102.6,43.69,3.31,2993.9,500.0,False,4.80,4.80
5.309,800,9109.5,43.73,3.27,2994.2,500.0,False,4.80,4.80
5.346,800,8796.6,42.22,4.78,2999.6,500.0,False,4.80,4.80
5.383,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
5.421,800,8796.5,42.22,4.78,2999.4,500.0,False,4.80,4.80
5.458,800,8797.0,42.23,4.77,2999.9,500.0,False,4.80,4.80
5.496,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
5.534,800,9101.2,43.69,3.31,2993.9,500.0,False,4.80,4.80
5.571,800,8796.5,42.22,4.78,2999.4,500.0,False,4.80,4.80
5.609,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
5.646,800,8796.5,42.22,4.78,2999.9,500.0,False,4.80,4.80
5.684,800,8796.6,42.22,4.78,3000.1,500.0,False,4.80,4.80
5.721,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
5.758,800,8796.6,42.22,4.78,3000.1,500.0,False,4.80,4.80
5.796,800,9110.3,43.73,3.27,2994.2,500.0,False,4.80,4.80
5.833,800,8796.7,42.22,4.78,3000.2,500.0,False,4.80,4.80
5.871,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
5.909,800,8796.8,42.22,4.78,3000.2,500.0,False,4.80,4.80
5.946,800,8796.8,42.22,4.78,3000.2,500.0,False,4.80,4.80
5.984,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
6.021,800,9101.7,43.69,3.31,2997.1,500.0,False,4.80,4.80
6.059,800,9099.9,43.68,3.32,2993.9,500.0,False,4.80,4.80
6.096,800,8796.5,42.22,4.78,3000.0,500.0,False,4.80,4.80
6.133,800,8796.6,42.22,4.78,3000.1,500.0,False,4.80,4.80
6.171,800,8797.0,42.23,4.77,3000.0,500.0,False,4.80,4.80
6.201,997,6963.1,41.64,5.36,2999.9,500.0,False,5.98,5.98
6.231,997,6914.1,41.35,5.65,2999.9,500.0,False,5.98,5.98
6.261,997,6902.0,41.27,5.73,2999.9,500.0,False,5.98,5.98
6.291,997,7199.4,43.05,3.95,2993.9,500.0,False,5.98,5.98
6.322,997,7184.9,42.97,4.03,2993.9,500.0,False,5.98,5.98
6.352,997,7194.6,43.02,3.98,2997.4,500.0,False,5.98,5.98
6.382,997,6877.0,41.12,5.88,2999.7,500.0,False,5.98,5.98
6.412,997,6874.4,41.11,5.89,3000.4,500.0,False,5.98,5.98
6.442,997,6872.1,41.10,5.90,2999.6,500.0,False,5.98,5.98
6.472,997,6871.1,41.09,5.91,2999.6,500.0,False,5.98,5.98
6.502,997,6870.0,41.08,5.92,2999.9,500.0,False,5.98,5.98
6.532,997,6869.4,41.08,5.92,3000.4,500.0,False,5.98,5.98
6.562,997,6868.0,41.07,5.93,3000.0,500.0,False,5.98,5.98
6.592,997,6868.0,41.07,5.93,3000.0,500.0,False,5.98,5.98
6.622,997,6868.0,41.07,5.93,2999.8,500.0,False,5.98,5.98
6.653,997,6868.0,41.07,5.93,2999.9,500.0,False,5.98,5.98
6.683,997,7182.8,42.95,4.05,3012.9,500.0,False,5.98,5.98
6.713,997,7185.0,42.97,4.03,3016.2,500.0,False,5.98,5.98
6.743,997,6868.4,41.07,5.93,3000.4,500.0,False,5.98,5.98
