Timing Analysis: wokwi-logic.vcd
Total measurements: 4680

Time(s)    RPM   Delay(μs)  Delay(°)  Advance(°)  Mode
------------------------------------------------------------
  0.14    222  9890471.7  13187.3  -13140.3  SAME
  0.28    200  9740471.7  11688.6  -11641.6  SAME
  0.43    200  9590471.7  11508.6  -11461.6  SAME
  0.58    200  9440471.7  11328.6  -11281.6  SAME
  0.73    200  9290471.7  11148.6  -11101.6  SAME
  0.89    200  9140471.7  10968.6  -10921.6  SAME
  1.03    200  8990471.7  10788.6  -10741.6  SAME
  1.19    200  8840471.7  10608.6  -10561.6  SAME
  1.33    200  8690471.7  10428.6  -10381.6  SAME
  1.49    200  8540471.7  10248.6  -10201.6  SAME
  1.64    200  8390471.7  10068.6  -10021.6  SAME
  1.78    200  8240471.7   9888.6   -9841.6  SAME
  1.94    200  8090471.7   9708.6   -9661.6  SAME
  2.08    200  7940471.7   9528.6   -9481.6  SAME
  2.23    200  7790471.7   9348.6   -9301.6  SAME
  2.38    200  7640471.7   9168.6   -9121.6  SAME
  2.54    200  7490471.7   8988.6   -8941.6  SAME
  2.69    200  7340471.7   8808.6   -8761.6  SAME
  2.83    200  7190471.7   8628.6   -8581.6  SAME
  2.98    200  7040471.7   8448.6   -8401.6  SAME
  3.13    200  6890471.7   8268.6   -8221.6  SAME
  3.29    200  6740471.7   8088.6   -8041.6  SAME
  3.44    200  6590471.7   7908.6   -7861.6  SAME
  3.58    200  6440471.7   7728.6   -7681.6  SAME
  3.73    200  6290471.7   7548.6   -7501.6  SAME
  3.88    200  6140471.7   7368.6   -7321.6  SAME
  4.04    200  5990471.7   7188.6   -7141.6  SAME
  4.18    200  5840471.7   7008.6   -6961.6  SAME
  4.33    200  5690471.7   6828.6   -6781.6  SAME
  4.49    200  5540471.7   6648.6   -6601.6  SAME
  4.63    200  5390471.7   6468.6   -6421.6  SAME
  4.79    200  5240471.7   6288.6   -6241.6  SAME
  4.93    200  5090471.7   6108.6   -6061.6  SAME
  5.00    458  5024971.7  13809.1  -13762.1  SAME
  5.03   1103  4997771.7  33073.5  -33026.5  SAME
  5.06    997  4967671.7  29707.0  -29660.0  SAME
  5.09    997  4937571.7  29527.0  -29480.0  SAME
  5.12    997  4907471.7  29347.0  -29300.0  SAME
  5.15    997  4877371.7  29167.0  -29120.0  SAME
  5.18    997  4847271.7  28987.0  -28940.0  SAME
  5.21    997  4817171.7  28807.0  -28760.0  SAME
