time_sec,rpm,reason
65.694,7143,No spark found after trigger
65.698,7143,No spark found after trigger
65.702,7143,No spark found after trigger
65.707,7143,No spark found after trigger
65.711,7143,No spark found after trigger
65.715,7143,No spark found after trigger
65.719,7143,No spark found after trigger
65.723,7143,No spark found after trigger
65.728,7143,No spark found after trigger
65.732,7143,No spark found after trigger
65.736,7143,No spark found after trigger
65.740,7143,No spark found after trigger
65.744,7143,No spark found after trigger
65.749,7143,No spark found after trigger
65.753,7143,No spark found after trigger
65.757,7143,No spark found after trigger
65.761,7143,No spark found after trigger
65.765,7143,No spark found after trigger
65.770,7143,No spark found after trigger
65.774,7143,No spark found after trigger
65.778,7143,No spark found after trigger
65.782,7143,No spark found after trigger
65.786,7143,No spark found after trigger
65.791,7143,No spark found after trigger
65.795,7143,No spark found after trigger
65.799,7143,No spark found after trigger
65.803,7143,No spark found after trigger
65.807,7143,No spark found after trigger
65.812,7143,No spark found after trigger
65.816,7143,No spark found after trigger
65.820,7143,No spark found after trigger
65.824,7143,No spark found after trigger
65.828,7143,No spark found after trigger
65.833,7143,No spark found after trigger
65.837,7143,No spark found after trigger
65.841,7143,No spark found after trigger
65.845,7143,No spark found after trigger
65.849,7143,No spark found after trigger
65.854,7143,No spark found after trigger
65.858,7143,No spark found after trigger
65.862,7143,No spark found after trigger
65.866,7143,No spark found after trigger
65.870,7143,No spark found after trigger
65.875,7143,No spark found after trigger
65.879,7143,No spark found after trigger
65.883,7143,No spark found after trigger
65.887,7143,No spark found after trigger
65.891,7143,No spark found after trigger
65.896,7143,No spark found after trigger
65.900,7143,No spark found after trigger
65.904,7143,No spark found after trigger
65.908,7143,No spark found after trigger
65.912,7143,No spark found after trigger
65.917,7143,No spark found after trigger
65.921,7143,No spark found after trigger
65.925,7143,No spark found after trigger
65.929,7143,No spark found after trigger
65.933,7143,No spark found after trigger
65.938,7143,No spark found after trigger
65.942,7143,No spark found after trigger
65.946,7143,No spark found after trigger
65.950,7143,No spark found after trigger
65.954,7143,No spark found after trigger
65.959,7143,No spark found after trigger
65.963,7143,No spark found after trigger
65.967,7143,No spark found after trigger
65.971,7143,No spark found after trigger
65.975,7143,No spark found after trigger
65.980,7143,No spark found after trigger
65.984,7143,No spark found after trigger
65.988,7143,No spark found after trigger
65.992,7143,No spark found after trigger
65.996,7143,No spark found after trigger
66.001,7143,No spark found after trigger
66.005,7143,No spark found after trigger
66.009,7143,No spark found after trigger
66.013,7143,No spark found after trigger
