time_seconds,D0,D1,D2
0.0,0,0,0
0.0,0,0,0
0.0,0,0,0
0.0,1,0,0
0.135,0,0,0
0.15,1,0,0
0.285,0,0,0
0.3,1,0,0
0.435,0,0,0
0.45,1,0,0
0.585,0,0,0
0.6,1,0,0
0.601367062,1,1,0
0.601367187,1,1,1
0.604368375,1,0,1
0.604368437,1,0,0
0.735,0,0,0
0.7359025,0,1,0
0.735902625,0,1,1
0.738903937,0,0,1
0.738904,0,0,0
0.75,1,0,0
0.885,0,0,0
0.885902687,0,1,0
0.885902812,0,1,1
0.888903875,0,0,1
0.888903937,0,0,0
0.9,1,0,0
1.034999999,0,0,0
1.035902687,0,1,0
1.035902812,0,1,1
1.038903937,0,0,1
1.038904,0,0,0
1.05,1,0,0
1.185,0,0,0
1.185902687,0,1,0
1.185902812,0,1,1
1.188903937,0,0,1
1.188904,0,0,0
1.2,1,0,0
1.335,0,0,0
1.3359025,0,1,0
1.335902625,0,1,1
1.338904375,0,0,1
1.338904437,0,0,0
1.35,1,0,0
1.485,0,0,0
1.4859025,0,1,0
1.485902625,0,1,1
1.488904062,0,0,1
1.488904125,0,0,0
1.5,1,0,0
1.635,0,0,0
1.6359025,0,1,0
1.635902625,0,1,1
1.638903875,0,0,1
1.638903937,0,0,0
1.65,1,0,0
1.785,0,0,0
1.785902687,0,1,0
1.785902812,0,1,1
1.788903875,0,0,1
1.788903937,0,0,0
1.8,1,0,0
1.935,0,0,0
1.9359025,0,1,0
1.935902625,0,1,1
1.938903875,0,0,1
1.938903937,0,0,0
1.95,1,0,0
2.085,0,0,0
2.0859025,0,1,0
2.085902625,0,1,1
2.088904562,0,0,1
2.088904625,0,0,0
2.1,1,0,0
2.235,0,0,0
2.235902687,0,1,0
2.235902812,0,1,1
2.238903875,0,0,1
2.238903937,0,0,0
2.25,1,0,0
2.385,0,0,0
2.3859025,0,1,0
2.385902625,0,1,1
2.388903875,0,0,1
2.388903937,0,0,0
2.4,1,0,0
2.535,0,0,0
2.535902562,0,1,0
2.535902687,0,1,1
2.538903937,0,0,1
2.538904,0,0,0
2.55,1,0,0
2.685,0,0,0
2.6859025,0,1,0
2.685902625,0,1,1
2.688904062,0,0,1
2.688904125,0,0,0
2.7,1,0,0
2.835,0,0,0
2.835902812,0,1,0
2.835902937,0,1,1
2.838904,0,0,1
2.838904062,0,0,0
2.85,1,0,0
2.985,0,0,0
2.9859025,0,1,0
2.985902625,0,1,1
2.988903937,0,0,1
2.988904,0,0,0
3.0,1,0,0
3.128,0,0,0
3.128193375,0,1,0
3.1281935,0,1,1
3.131194562,0,0,1
3.131194625,0,0,0
3.1414,1,0,0
3.2627,0,0,0
3.262894875,0,1,0
3.262895,0,1,1
3.265896062,0,0,1
3.265896125,0,0,0
3.2755,1,0,0
3.391,0,0,0
3.391186625,0,1,0
3.39118675,0,1,1
3.394187375,0,0,1
3.394187437,0,0,0
3.4033,1,0,0
3.5138,0,0,0
3.513987437,0,1,0
3.513987562,0,1,1
3.516988375,0,0,1
3.516988437,0,0,0
3.5256,1,0,0
3.6317,0,0,0
3.631884187,0,1,0
3.631884312,0,1,1
3.634884875,0,0,1
3.634884937,0,0,0
3.643,1,0,0
3.7452,0,0,0
3.745390687,0,1,0
3.745390812,0,1,1
3.748391375,0,0,1
3.748391437,0,0,0
3.7561,1,0,0
3.8547,0,0,0
3.854890437,0,1,0
3.854890562,0,1,1
3.857891375,0,0,1
3.857891437,0,0,0
3.8653,1,0,0
3.9607,0,0,0
3.960889812,0,1,0
3.960889937,0,1,1
3.963891,0,0,1
3.963891062,0,0,0
3.971,1,0,0
4.0635,0,0,0
4.063687187,0,1,0
4.063687312,0,1,1
4.066687875,0,0,1
4.066687937,0,0,0
4.0735,1,0,0
4.163299999,0,0,0
4.163491562,0,1,0
4.163491687,0,1,1
4.166492375,0,0,1
4.166492437,0,0,0
4.173,1,0,0
4.260399999,0,0,0
4.260587499,0,1,0
4.260587625,0,1,1
4.263588437,0,0,1
4.2635885,0,0,0
4.2698,1,0,0
4.3549,0,0,0
4.3550925,0,1,0
4.355092625,0,1,1
4.358093437,0,0,1
4.3580935,0,0,0
4.3642,1,0,0
4.4472,0,0,0
4.447395,0,1,0
4.447395125,0,1,1
4.450395937,0,0,1
4.450396,0,0,0
4.4562,1,0,0
4.5373,0,0,0
4.537495875,0,1,0
4.537496,0,1,1
4.540497062,0,0,1
4.540497125,0,0,0
4.5461,1,0,0
4.6254,0,0,0
4.625592375,0,1,0
4.6255925,0,1,1
4.628593375,0,0,1
4.628593437,0,0,0
4.634,1,0,0
4.7116,0,0,0
4.711796062,0,1,0
4.711796187,0,1,1
4.714796875,0,0,1
4.714796937,0,0,0
4.72,1,0,0
4.796,0,0,0
4.7961945,0,1,0
4.796194625,0,1,1
4.799195437,0,0,1
4.7991955,0,0,0
4.8042,1,0,0
4.8787,0,0,0
4.878890062,0,1,0
4.878890187,0,1,1
4.881890875,0,0,1
4.881890937,0,0,0
4.8868,1,0,0
4.9599,0,0,0
4.960095562,0,1,0
4.960095687,0,1,1
4.963096375,0,0,1
4.963096437,0,0,0
4.9678,1,0,0
5.0395,0,0,0
5.0473,1,0,0
5.1178,0,0,0
5.1254,1,0,0
5.1946,0,0,0
5.2022,1,0,0
5.2703,0,0,0
5.2777,1,0,0
5.3447,0,0,0
5.352,1,0,0
5.418,0,0,0
5.4252,1,0,0
5.4902,0,0,0
5.4973,1,0,0
5.5613,0,0,0
5.5683,1,0,0
5.6314,0,0,0
5.6383,1,0,0
5.7005,0,0,0
5.7074,1,0,0
5.7688,0,0,0
5.7755,1,0,0
5.8361,0,0,0
5.8427,1,0,0
5.849723,1,1,0
