time_seconds,D0,D1,D2
0.000000,0,0,0
0.000000,0,0,0
0.000000,0,0,0
0.000000,1,0,0
0.135000,0,0,0
0.150000,1,0,0
0.285000,0,0,0
0.300000,1,0,0
0.435000,0,0,0
0.450000,1,0,0
0.585000,0,0,0
0.600000,1,0,0
0.601367,1,1,0
0.601367,1,1,1
0.604368,1,0,1
0.604368,1,0,0
0.735000,0,0,0
0.735903,0,1,0
0.735903,0,1,1
0.738904,0,0,1
0.738904,0,0,0
0.750000,1,0,0
0.885000,0,0,0
0.885903,0,1,0
0.885903,0,1,1
0.888904,0,0,1
0.888904,0,0,0
0.900000,1,0,0
1.035000,0,0,0
1.035903,0,1,0
1.035903,0,1,1
1.038904,0,0,1
1.038904,0,0,0
1.050000,1,0,0
1.185000,0,0,0
1.185903,0,1,0
1.185903,0,1,1
1.188904,0,0,1
1.188904,0,0,0
1.200000,1,0,0
1.335000,0,0,0
1.335902,0,1,0
1.335903,0,1,1
1.338904,0,0,1
1.338904,0,0,0
1.350000,1,0,0
1.485000,0,0,0
1.485902,0,1,0
1.485903,0,1,1
1.488904,0,0,1
1.488904,0,0,0
1.500000,1,0,0
1.635000,0,0,0
1.635903,0,1,0
1.635903,0,1,1
1.638904,0,0,1
1.638904,0,0,0
1.650000,1,0,0
1.785000,0,0,0
1.785903,0,1,0
1.785903,0,1,1
1.788904,0,0,1
1.788904,0,0,0
1.800000,1,0,0
1.935000,0,0,0
1.935903,0,1,0
1.935903,0,1,1
1.938904,0,0,1
1.938904,0,0,0
1.950000,1,0,0
2.085000,0,0,0
2.085902,0,1,0
2.085903,0,1,1
2.088905,0,0,1
2.088905,0,0,0
2.100000,1,0,0
2.235000,0,0,0
2.235903,0,1,0
2.235903,0,1,1
2.238904,0,0,1
2.238904,0,0,0
2.250000,1,0,0
2.385000,0,0,0
2.385902,0,1,0
2.385903,0,1,1
2.388904,0,0,1
2.388904,0,0,0
2.400000,1,0,0
2.535000,0,0,0
2.535903,0,1,0
2.535903,0,1,1
2.538904,0,0,1
2.538904,0,0,0
2.550000,1,0,0
2.685000,0,0,0
2.685903,0,1,0
2.685903,0,1,1
2.688904,0,0,1
2.688904,0,0,0
2.700000,1,0,0
2.835000,0,0,0
2.835903,0,1,0
2.835903,0,1,1
2.838904,0,0,1
2.838904,0,0,0
2.850000,1,0,0
2.985000,0,0,0
2.985902,0,1,0
2.985903,0,1,1
2.988904,0,0,1
2.988904,0,0,0
3.000000,1,0,0
3.128000,0,0,0
3.128193,0,1,0
3.128194,0,1,1
3.131195,0,0,1
3.131195,0,0,0
3.141400,1,0,0
3.262700,0,0,0
3.262895,0,1,0
3.262895,0,1,1
3.265896,0,0,1
3.265896,0,0,0
3.275500,1,0,0
3.391000,0,0,0
3.391187,0,1,0
3.391187,0,1,1
3.394187,0,0,1
3.394187,0,0,0
3.403300,1,0,0
3.513800,0,0,0
3.513987,0,1,0
3.513988,0,1,1
3.516988,0,0,1
3.516988,0,0,0
3.525600,1,0,0
3.631700,0,0,0
3.631884,0,1,0
3.631884,0,1,1
3.634885,0,0,1
3.634885,0,0,0
3.643000,1,0,0
3.745200,0,0,0
3.745391,0,1,0
3.745391,0,1,1
3.748391,0,0,1
3.748391,0,0,0
