time_seconds,D0,D1,D2
10.000000000,1,0,1
10.002433999,1,0,1
10.002434000,1,0,1
10.002433999,1,0,1
10.002434000,1,0,0
10.030799999,1,0,0
10.030800000,0,0,0
10.034499999,0,0,0
10.034500000,1,0,0
10.036505999,1,0,0
10.036506000,1,1,0
10.036505999,1,1,0
10.036506000,1,1,1
10.039506999,1,1,1
10.039507000,1,0,1
10.039506999,1,0,1
10.039507000,1,0,0
10.067799999,1,0,0
10.067800000,0,0,0
10.071399999,0,0,0
10.071400000,1,0,0
10.073477999,1,0,0
10.073478000,1,1,0
10.073477999,1,1,0
10.073478000,1,1,1
10.076478999,1,1,1
10.076479000,1,0,1
10.076479999,1,0,1
10.076480000,1,0,0
10.104499999,1,0,0
10.104500000,0,0,0
10.108199999,0,0,0
10.108200000,1,0,0
10.110102999,1,0,0
10.110103000,1,1,0
10.110102999,1,1,0
10.110103000,1,1,1
10.113103999,1,1,1
10.113104000,1,0,1
10.113103999,1,0,1
10.113104000,1,0,0
10.141199999,1,0,0
10.141200000,0,0,0
10.144799999,0,0,0
10.144800000,1,0,0
10.146799999,1,0,0
10.146800000,1,1,0
10.146799999,1,1,0
10.146800000,1,1,1
10.149800999,1,1,1
10.149801000,1,0,1
10.149800999,1,0,1
10.149801000,1,0,0
10.177699999,1,0,0
10.177700000,0,0,0
10.181299999,0,0,0
10.181300000,1,0,0
10.183248999,1,0,0
10.183249000,1,1,0
10.183248999,1,1,0
10.183249000,1,1,1
10.186249999,1,1,1
10.186250000,1,0,1
10.186250999,1,0,1
10.186251000,1,0,0
10.213999999,1,0,0
10.214000000,0,0,0
10.217699999,0,0,0
10.217700000,1,0,0
10.219496999,1,0,0
10.219497000,1,1,0
10.219496999,1,1,0
10.219497000,1,1,1
10.222497999,1,1,1
10.222498000,1,0,1
10.222497999,1,0,1
10.222498000,1,0,0
10.250299999,1,0,0
10.250300000,0,0,0
10.253899999,0,0,0
10.253900000,1,0,0
10.255793999,1,0,0
10.255794000,1,1,0
10.255793999,1,1,0
10.255794000,1,1,1
10.258794999,1,1,1
10.258795000,1,0,1
10.258794999,1,0,1
10.258795000,1,0,0
10.286399999,1,0,0
10.286400000,0,0,0
10.289999999,0,0,0
10.290000000,1,0,0
10.291842999,1,0,0
10.291843000,1,1,0
10.291842999,1,1,0
10.291843000,1,1,1
10.294844999,1,1,1
10.294845000,1,0,1
10.294844999,1,0,1
10.294845000,1,0,0
10.322399999,1,0,0
10.322400000,0,0,0
10.325999999,0,0,0
10.326000000,1,0,0
10.327815999,1,0,0
10.327816000,1,1,0
10.327815999,1,1,0
10.327816000,1,1,1
10.330816999,1,1,1
10.330817000,1,0,1
10.330816999,1,0,1
10.330817000,1,0,0
10.358299999,1,0,0
10.358300000,0,0,0
10.361799999,0,0,0
10.361800000,1,0,0
10.363688999,1,0,0
10.363689000,1,1,0
10.363688999,1,1,0
10.363689000,1,1,1
10.366690999,1,1,1
10.366691000,1,0,1
10.366690999,1,0,1
10.366691000,1,0,0
10.393899999,1,0,0
10.393900000,0,0,0
10.397499999,0,0,0
10.397500000,1,0,0
10.399214999,1,0,0
10.399215000,1,1,0
10.399214999,1,1,0
10.399215000,1,1,1
10.402215999,1,1,1
10.402216000,1,0,1
10.402215999,1,0,1
10.402216000,1,0,0
10.429499999,1,0,0
10.429500000,0,0,0
10.433099999,0,0,0
10.433100000,1,0,0
10.434810999,1,0,0
10.434811000,1,1,0
10.434810999,1,1,0
10.434811000,1,1,1
10.437811999,1,1,1
10.437812000,1,0,1
10.437811999,1,0,1
10.437812000,1,0,0
10.464999999,1,0,0
10.465000000,0,0,0
10.468499999,0,0,0
10.468500000,1,0,0
10.470283999,1,0,0
10.470284000,1,1,0
10.470283999,1,1,0
10.470284000,1,1,1
10.473284999,1,1,1
10.473285000,1,0,1
10.473284999,1,0,1
10.473285000,1,0,0
10.500299999,1,0,0
10.500300000,0,0,0
10.503799999,0,0,0
10.503800000,1,0,0
10.505533999,1,0,0
10.505534000,1,1,0
10.505533999,1,1,0
10.505534000,1,1,1
10.508534999,1,1,1
10.508535000,1,0,1
10.508534999,1,0,1
10.508535000,1,0,0
10.535499999,1,0,0
10.535500000,0,0,0
10.538999999,0,0,0
10.539000000,1,0,0
10.540706999,1,0,0
10.540707000,1,1,0
10.540706999,1,1,0
10.540707000,1,1,1
10.543707999,1,1,1
10.543708000,1,0,1
10.543707999,1,0,1
10.543708000,1,0,0
10.570599999,1,0,0
10.570600000,0,0,0
10.574099999,0,0,0
10.574100000,1,0,0
10.575779999,1,0,0
10.575780000,1,1,0
10.575779999,1,1,0
10.575780000,1,1,1
10.578780999,1,1,1
10.578781000,1,0,1
10.578780999,1,0,1
10.578781000,1,0,0
10.605599999,1,0,0
10.605600000,0,0,0
10.608999999,0,0,0
10.609000000,1,0,0
10.610753999,1,0,0
10.610754000,1,1,0
10.610753999,1,1,0
10.610754000,1,1,1
10.613754999,1,1,1
10.613755000,1,0,1
10.613754999,1,0,1
10.613755000,1,0,0
10.640299999,1,0,0
10.640300000,0,0,0
10.643799999,0,0,0
10.643800000,1,0,0
10.645378999,1,0,0
10.645379000,1,1,0
10.645378999,1,1,0
10.645379000,1,1,1
10.648380999,1,1,1
10.648381000,1,0,1
10.648380999,1,0,1
10.648381000,1,0,0
10.674999999,1,0,0
10.675000000,0,0,0
10.678499999,0,0,0
10.678500000,1,0,0
10.680075999,1,0,0
10.680076000,1,1,0
10.680075999,1,1,0
10.680076000,1,1,1
10.683076999,1,1,1
10.683077000,1,0,1
10.683076999,1,0,1
10.683077000,1,0,0
10.709599999,1,0,0
10.709600000,0,0,0
10.713099999,0,0,0
10.713100000,1,0,0
10.714648999,1,0,0
10.714649000,1,1,0
10.714648999,1,1,0
10.714649000,1,1,1
10.717649999,1,1,1
10.717650000,1,0,1
10.717649999,1,0,1
10.717650000,1,0,0
10.744099999,1,0,0
10.744100000,0,0,0
10.747599999,0,0,0
10.747600000,1,0,0
10.749122999,1,0,0
10.749123000,1,1,0
10.749122999,1,1,0
10.749123000,1,1,1
10.752123999,1,1,1
